Gender,Age,BMI,Duration,Heart Rate,Body Temperature,Calorie Consumption
female,26,24.54,19.0,97.0,40.4,93.0
male,25,23.23,6.0,90.0,39.2,17.0
female,60,24.1,3.0,84.0,38.9,12.0
male,25,24.72,23.0,101.0,40.8,115.0
female,39,23.88,19.0,106.0,40.6,119.0
female,30,22.64,26.0,108.0,40.6,168.0
male,23,25.51,12.0,90.0,40.4,44.0
female,37,23.28,29.0,108.0,40.6,192.0
female,22,21.75,17.0,101.0,40.3,96.0
female,26,23.53,23.0,105.0,40.7,135.0
female,56,21.51,12.0,86.0,40.2,54.0
male,43,27.02,30.0,115.0,40.8,239.0
female,38,22.76,14.0,94.0,40.1,69.0
male,24,24.97,14.0,90.0,40.7,46.0
female,25,23.42,21.0,101.0,40.7,115.0
female,31,23.34,4.0,88.0,39.1,17.0
female,54,25.0,25.0,115.0,40.4,190.0
female,34,25.21,12.0,89.0,40.2,48.0
female,28,23.24,27.0,112.0,40.7,178.0
male,24,26.04,6.0,88.0,39.3,20.0
female,27,24.74,15.0,90.0,40.4,64.0
female,35,24.03,19.0,94.0,40.6,95.0
male,49,26.58,25.0,111.0,40.8,196.0
male,36,26.59,2.0,91.0,38.1,9.0
female,58,22.52,18.0,101.0,40.8,105.0
female,40,24.75,12.0,92.0,40.0,58.0
male,31,24.03,24.0,97.0,40.8,111.0
male,50,25.96,17.0,101.0,40.3,108.0
male,36,26.71,6.0,87.0,39.1,24.0
female,34,22.96,13.0,96.0,40.1,67.0
female,78,23.07,13.0,84.0,40.3,62.0
male,41,23.99,28.0,104.0,40.8,172.0
male,41,24.0,7.0,87.0,39.5,24.0
male,24,24.3,19.0,98.0,40.1,84.0
female,67,23.05,20.0,105.0,40.5,132.0
female,47,23.41,25.0,110.0,40.7,167.0
female,42,21.93,17.0,101.0,40.6,101.0
female,25,23.15,23.0,97.0,40.6,113.0
male,25,24.34,17.0,101.0,40.3,84.0
female,58,24.98,6.0,88.0,39.4,28.0
male,68,26.86,22.0,99.0,41.0,157.0
male,24,27.78,14.0,97.0,40.4,64.0
male,38,24.96,21.0,104.0,40.6,133.0
female,26,21.94,23.0,108.0,40.5,145.0
male,64,26.2,24.0,103.0,41.0,174.0
female,49,24.77,7.0,93.0,39.2,34.0
female,73,22.83,29.0,103.0,40.9,193.0
male,27,26.54,24.0,107.0,40.7,147.0
male,66,24.62,18.0,105.0,40.5,133.0
male,39,26.26,26.0,101.0,40.7,161.0
female,30,21.97,6.0,76.0,39.4,18.0
male,76,27.45,12.0,96.0,40.1,85.0
male,60,24.16,15.0,95.0,40.0,90.0
male,54,25.46,23.0,108.0,40.9,176.0
female,49,23.95,11.0,89.0,39.6,51.0
female,24,22.05,7.0,82.0,39.3,24.0
female,28,21.99,6.0,83.0,39.5,22.0
male,72,26.28,25.0,106.0,40.9,212.0
male,32,26.67,29.0,112.0,40.9,201.0
female,36,23.34,17.0,93.0,40.3,83.0
male,65,24.75,14.0,93.0,40.1,87.0
female,36,25.22,27.0,97.0,40.7,141.0
female,32,24.92,23.0,103.0,40.3,134.0
male,42,25.93,2.0,80.0,38.6,5.0
male,34,25.77,29.0,109.0,40.9,201.0
male,34,23.81,3.0,86.0,38.2,9.0
male,26,23.57,8.0,83.0,39.3,20.0
male,31,25.48,29.0,113.0,40.8,221.0
female,64,25.56,17.0,105.0,40.1,112.0
male,34,27.17,20.0,99.0,40.3,108.0
male,63,26.91,29.0,110.0,40.4,257.0
male,44,23.12,27.0,108.0,40.8,192.0
male,36,26.59,17.0,90.0,40.3,72.0
male,41,23.72,28.0,104.0,41.2,169.0
male,73,27.28,18.0,97.0,40.3,120.0
male,31,24.57,28.0,106.0,40.8,172.0
male,22,22.78,10.0,84.0,39.9,21.0
female,34,21.6,18.0,102.0,40.6,105.0
female,21,23.03,25.0,109.0,40.3,156.0
female,22,23.78,3.0,89.0,38.7,13.0
male,33,26.87,24.0,100.0,40.8,134.0
female,51,24.34,21.0,103.0,40.4,130.0
male,45,26.04,2.0,83.0,37.9,7.0
female,33,21.88,25.0,101.0,41.1,140.0
male,47,24.74,7.0,91.0,39.3,34.0
female,70,24.16,9.0,79.0,40.0,34.0
female,77,24.61,8.0,92.0,39.5,44.0
female,35,24.0,11.0,85.0,39.9,42.0
female,44,23.15,2.0,89.0,38.4,9.0
female,71,22.31,18.0,97.0,40.5,107.0
female,54,24.77,9.0,87.0,39.6,39.0
female,63,24.68,26.0,108.0,40.8,178.0
female,50,24.77,13.0,101.0,40.4,79.0
male,63,26.25,15.0,102.0,40.3,113.0
female,30,21.83,22.0,109.0,40.5,143.0
female,33,21.45,4.0,84.0,38.7,16.0
male,38,25.48,24.0,100.0,40.5,137.0
male,20,24.19,17.0,97.0,40.5,71.0
female,67,24.52,13.0,94.0,40.2,72.0
male,24,25.46,14.0,103.0,40.1,76.0
male,30,26.54,27.0,109.0,40.5,187.0
female,35,23.31,18.0,103.0,40.2,109.0
female,63,25.5,29.0,111.0,40.5,204.0
female,50,24.34,6.0,91.0,39.4,29.0
male,33,25.25,17.0,98.0,40.5,91.0
female,36,21.83,4.0,84.0,39.0,16.0
male,75,27.74,7.0,84.0,39.1,36.0
male,56,27.47,13.0,97.0,39.9,80.0
female,50,22.64,22.0,111.0,40.6,151.0
male,24,23.89,27.0,116.0,40.6,195.0
female,32,24.34,8.0,80.0,39.5,26.0
male,49,26.85,22.0,99.0,40.5,138.0
female,77,22.49,3.0,89.0,39.0,15.0
male,67,25.65,19.0,97.0,40.5,120.0
male,23,24.45,30.0,112.0,41.0,197.0
male,37,25.77,21.0,98.0,40.7,114.0
female,35,22.21,20.0,107.0,40.6,127.0
male,34,24.25,23.0,97.0,40.8,112.0
female,49,23.74,21.0,98.0,40.4,116.0
female,69,25.07,8.0,83.0,39.4,35.0
male,49,26.84,16.0,103.0,40.4,110.0
female,41,22.67,22.0,95.0,40.2,117.0
male,42,24.98,17.0,105.0,40.2,115.0
male,52,26.31,21.0,107.0,40.6,157.0
female,26,24.03,12.0,91.0,40.0,54.0
female,79,25.25,25.0,104.0,40.5,163.0
male,72,27.72,19.0,107.0,40.5,156.0
male,34,24.19,10.0,91.0,39.9,42.0
female,60,21.64,7.0,89.0,39.8,35.0
female,45,22.83,7.0,91.0,39.3,34.0
male,33,26.03,19.0,98.0,40.4,99.0
male,56,26.31,20.0,109.0,40.5,161.0
female,21,23.07,8.0,94.0,39.8,38.0
female,50,23.53,18.0,99.0,40.5,104.0
male,60,25.4,27.0,105.0,41.0,200.0
male,39,27.43,28.0,108.0,40.7,183.0
male,48,24.49,19.0,110.0,40.7,140.0
female,38,24.46,19.0,97.0,40.5,100.0
male,54,26.32,22.0,110.0,40.3,178.0
male,23,23.41,27.0,104.0,41.0,150.0
female,72,25.28,15.0,94.0,40.2,83.0
male,47,24.66,6.0,74.0,39.3,12.0
female,58,24.91,8.0,103.0,39.9,49.0
male,41,26.53,25.0,101.0,40.8,147.0
male,62,26.85,8.0,90.0,39.4,44.0
female,30,23.74,29.0,107.0,40.9,179.0
female,32,23.01,23.0,113.0,40.5,161.0
male,20,25.25,9.0,84.0,39.4,20.0
female,53,23.03,21.0,102.0,40.5,127.0
male,51,26.6,30.0,112.0,41.0,247.0
male,78,27.45,23.0,100.0,40.8,173.0
female,31,24.16,1.0,74.0,37.6,3.0
male,74,26.65,6.0,83.0,39.0,32.0
female,50,22.34,22.0,106.0,40.9,140.0
female,40,27.34,8.0,88.0,40.0,34.0
male,41,25.35,8.0,88.0,39.7,30.0
female,26,20.83,13.0,94.0,40.3,64.0
male,25,26.0,27.0,104.0,40.8,152.0
male,31,26.29,15.0,105.0,39.9,91.0
male,20,26.01,4.0,83.0,38.8,9.0
female,55,23.24,5.0,84.0,39.3,20.0
female,52,23.05,25.0,103.0,40.7,156.0
male,60,24.27,26.0,110.0,40.6,223.0
male,36,25.49,16.0,97.0,40.0,83.0
female,53,24.45,11.0,89.0,40.0,51.0
male,36,25.5,10.0,97.0,40.0,52.0
female,23,23.81,25.0,114.0,40.9,170.0
female,36,21.19,2.0,79.0,37.9,7.0
female,37,22.14,25.0,103.0,40.7,149.0
male,48,24.42,27.0,105.0,40.6,181.0
female,39,25.46,27.0,118.0,41.1,201.0
male,21,24.51,7.0,88.0,39.6,23.0
male,20,24.59,23.0,100.0,40.3,109.0
male,57,25.21,8.0,84.0,39.7,30.0
female,77,25.78,15.0,94.0,40.5,84.0
male,34,25.11,19.0,109.0,40.4,128.0
male,52,25.76,23.0,97.0,40.7,137.0
male,70,24.18,28.0,103.0,40.8,216.0
female,64,21.91,12.0,95.0,40.1,68.0
male,73,25.76,18.0,97.0,40.7,129.0
male,47,26.04,11.0,88.0,39.8,50.0
female,39,24.17,5.0,84.0,39.2,19.0
female,25,22.58,7.0,89.0,39.4,30.0
male,22,24.61,27.0,119.0,40.4,197.0
male,67,26.06,4.0,95.0,38.7,24.0
female,64,24.91,13.0,94.0,40.2,70.0
male,37,25.0,12.0,91.0,40.1,54.0
male,21,23.04,19.0,100.0,40.5,88.0
male,40,26.87,7.0,83.0,39.5,24.0
female,36,22.46,19.0,108.0,40.1,121.0
female,53,24.3,11.0,95.0,39.9,57.0
male,41,26.86,22.0,98.0,40.5,126.0
male,56,25.99,5.0,89.0,39.5,24.0
female,29,23.59,11.0,84.0,40.0,41.0
male,28,24.96,7.0,92.0,39.5,28.0
male,22,24.12,10.0,90.0,39.7,34.0
male,76,24.46,23.0,96.0,40.5,161.0
male,73,24.82,4.0,86.0,38.9,20.0
male,39,23.57,23.0,97.0,40.6,119.0
female,69,22.48,11.0,95.0,39.6,63.0
female,46,23.15,12.0,93.0,40.1,58.0
female,30,21.83,30.0,115.0,40.6,215.0
female,35,23.74,17.0,101.0,40.1,96.0
female,60,22.92,24.0,107.0,41.0,160.0
female,35,22.22,25.0,104.0,41.0,154.0
male,26,25.36,5.0,81.0,39.1,11.0
male,21,24.78,23.0,104.0,40.5,122.0
female,27,22.83,22.0,101.0,40.4,124.0
female,47,23.32,21.0,97.0,40.6,113.0
female,27,23.59,3.0,80.0,38.9,9.0
male,49,24.11,29.0,108.0,40.7,208.0
male,27,26.2,19.0,102.0,41.0,101.0
male,46,24.18,14.0,91.0,40.0,66.0
male,58,25.25,14.0,102.0,40.1,100.0
male,27,26.03,13.0,101.0,39.9,65.0
male,29,24.54,13.0,91.0,39.8,47.0
male,39,24.74,3.0,78.0,38.6,8.0
female,56,24.61,4.0,84.0,38.7,17.0
male,32,24.78,21.0,97.0,40.4,101.0
female,43,23.46,5.0,80.0,39.0,18.0
male,21,24.02,21.0,108.0,40.5,131.0
female,76,23.51,10.0,97.0,39.8,58.0
female,22,22.48,15.0,104.0,40.0,87.0
male,35,24.75,24.0,104.0,40.6,152.0
male,45,26.04,28.0,105.0,41.0,193.0
male,32,26.79,10.0,99.0,39.7,51.0
male,39,25.25,25.0,105.0,40.7,157.0
female,44,24.77,27.0,105.0,40.8,165.0
female,26,22.13,6.0,84.0,39.4,22.0
female,42,22.47,17.0,98.0,40.1,91.0
female,24,24.62,2.0,93.0,38.2,9.0
male,56,26.88,14.0,91.0,40.0,74.0
male,71,28.05,5.0,85.0,39.1,26.0
female,37,24.02,11.0,99.0,39.9,57.0
female,47,24.01,10.0,81.0,39.9,37.0
male,48,24.02,29.0,112.0,40.9,217.0
male,52,25.68,11.0,87.0,40.0,47.0
male,40,26.58,24.0,99.0,40.4,139.0
female,66,23.15,4.0,88.0,38.9,19.0
female,37,23.94,16.0,94.0,40.2,80.0
male,28,24.97,17.0,94.0,40.4,74.0
female,59,23.28,10.0,93.0,39.7,54.0
male,24,23.55,28.0,105.0,40.8,154.0
female,67,23.62,26.0,93.0,40.7,140.0
male,33,26.58,10.0,97.0,39.8,52.0
male,34,26.86,15.0,97.0,40.1,79.0
male,40,25.64,17.0,99.0,40.4,94.0
male,22,22.82,28.0,116.0,41.0,202.0
male,66,27.89,27.0,114.0,40.7,238.0
male,42,24.76,19.0,103.0,40.2,117.0
male,42,25.41,7.0,83.0,39.5,26.0
male,64,23.54,23.0,106.0,40.7,184.0
female,32,24.39,28.0,105.0,40.5,169.0
male,24,25.48,1.0,78.0,37.7,2.0
male,26,25.06,27.0,107.0,41.0,162.0
female,32,21.76,13.0,92.0,40.2,62.0
male,51,26.04,21.0,105.0,40.4,150.0
female,40,21.67,27.0,110.0,41.1,183.0
female,34,23.1,25.0,101.0,40.9,138.0
male,48,25.71,15.0,103.0,40.0,99.0
female,21,20.82,23.0,100.0,40.6,128.0
female,31,22.2,12.0,91.0,40.3,54.0
male,76,27.65,18.0,95.0,40.3,127.0
male,20,25.22,5.0,84.0,38.9,11.0
male,22,26.18,18.0,94.0,40.7,66.0
male,44,25.93,11.0,91.0,39.5,49.0
female,49,22.39,10.0,85.0,39.5,42.0
male,49,24.66,7.0,95.0,39.5,37.0
female,46,23.19,3.0,84.0,38.6,12.0
male,75,24.28,29.0,107.0,41.1,243.0
female,20,20.8,5.0,76.0,39.3,14.0
female,33,24.88,28.0,105.0,40.6,171.0
male,68,27.22,28.0,112.0,40.8,241.0
female,58,24.39,20.0,104.0,40.6,125.0
male,23,25.28,26.0,112.0,40.6,171.0
male,79,24.49,9.0,87.0,39.7,52.0
male,43,25.74,28.0,103.0,40.7,187.0
female,37,23.36,24.0,104.0,40.8,141.0
male,75,26.01,28.0,123.0,40.5,314.0
female,61,24.39,26.0,102.0,40.8,159.0
female,26,21.71,9.0,80.0,40.2,30.0
female,23,24.06,28.0,110.0,40.9,176.0
male,64,25.88,25.0,111.0,40.8,211.0
female,20,23.53,8.0,85.0,39.4,29.0
female,22,23.6,21.0,95.0,40.1,99.0
female,27,24.16,27.0,116.0,41.1,190.0
male,36,26.32,7.0,83.0,39.5,22.0
male,59,25.22,30.0,110.0,41.0,247.0
male,36,24.27,5.0,84.0,39.0,17.0
female,71,25.39,8.0,86.0,39.7,37.0
female,21,24.02,21.0,103.0,40.4,117.0
male,56,25.46,10.0,91.0,39.7,52.0
female,68,23.23,2.0,75.0,37.9,7.0
male,75,25.01,10.0,98.0,39.7,68.0
male,48,27.12,17.0,89.0,40.4,74.0
male,62,26.59,24.0,97.0,40.6,154.0
female,53,24.65,26.0,104.0,40.7,165.0
male,47,25.45,17.0,97.0,39.9,96.0
male,39,25.75,13.0,101.0,39.8,77.0
female,54,22.32,17.0,92.0,40.3,86.0
male,38,25.74,21.0,101.0,40.6,129.0
female,39,22.97,26.0,100.0,40.4,151.0
male,51,24.45,28.0,106.0,40.9,197.0
male,30,24.7,13.0,104.0,40.3,77.0
female,33,25.07,5.0,90.0,39.1,22.0
male,47,24.76,27.0,100.0,40.7,161.0
female,64,22.89,25.0,114.0,40.8,192.0
female,37,22.94,8.0,90.0,39.2,37.0
male,41,25.75,20.0,106.0,40.5,135.0
male,61,24.03,11.0,90.0,40.0,55.0
male,38,24.86,10.0,84.0,39.8,29.0
male,21,25.71,12.0,97.0,39.9,52.0
female,26,24.39,1.0,69.0,37.9,2.0
male,48,24.19,21.0,94.0,40.6,106.0
male,71,23.89,6.0,84.0,39.0,28.0
male,73,24.49,22.0,107.0,40.9,189.0
female,65,24.44,26.0,111.0,41.0,190.0
female,57,25.22,13.0,91.0,39.9,66.0
male,49,27.17,22.0,99.0,40.5,135.0
male,55,24.93,4.0,97.0,38.7,23.0
male,20,22.34,12.0,80.0,39.9,17.0
female,45,21.83,5.0,84.0,38.9,21.0
female,53,24.49,13.0,90.0,40.2,60.0
female,46,21.05,10.0,93.0,39.6,51.0
male,25,24.49,5.0,85.0,39.1,15.0
male,22,24.46,9.0,92.0,40.0,29.0
female,60,24.54,27.0,110.0,40.8,190.0
female,50,21.97,11.0,89.0,40.1,51.0
female,61,22.72,17.0,95.0,40.5,95.0
female,69,22.77,29.0,112.0,40.9,216.0
male,30,24.19,30.0,101.0,41.0,165.0
female,33,22.68,20.0,105.0,40.6,122.0
male,21,24.74,15.0,96.0,40.1,69.0
female,39,22.94,20.0,99.0,40.9,113.0
male,26,25.0,7.0,92.0,39.5,26.0
male,44,26.12,5.0,91.0,39.2,22.0
female,58,20.25,12.0,96.0,40.1,70.0
male,24,26.49,4.0,83.0,39.3,9.0
male,35,26.02,15.0,95.0,40.3,72.0
male,21,26.32,25.0,111.0,40.6,165.0
male,26,25.03,29.0,105.0,41.0,165.0
female,30,21.72,15.0,88.0,40.3,64.0
male,27,24.45,18.0,105.0,40.5,103.0
female,32,23.6,4.0,83.0,39.1,15.0
female,30,24.54,9.0,85.0,39.6,32.0
female,79,22.27,14.0,85.0,40.0,68.0
female,39,21.56,25.0,106.0,40.6,159.0
male,25,25.18,6.0,92.0,39.6,23.0
female,23,24.51,13.0,90.0,40.1,54.0
female,47,23.66,2.0,89.0,37.8,9.0
male,34,24.15,29.0,120.0,40.7,240.0
female,36,23.37,10.0,86.0,39.7,42.0
male,63,27.91,14.0,106.0,40.0,117.0
female,37,21.94,26.0,106.0,40.6,164.0
female,50,22.6,23.0,98.0,40.8,132.0
male,62,26.32,2.0,85.0,38.2,9.0
female,37,22.39,15.0,94.0,40.0,74.0
female,35,24.16,23.0,96.0,40.7,116.0
male,27,26.09,8.0,102.0,39.7,42.0
male,55,24.66,24.0,110.0,40.6,187.0
male,36,25.06,16.0,94.0,40.4,70.0
female,22,22.96,7.0,86.0,39.1,29.0
male,20,24.57,9.0,83.0,39.8,17.0
male,43,24.25,28.0,108.0,40.9,195.0
female,73,23.2,19.0,106.0,40.4,127.0
male,22,24.22,14.0,87.0,39.9,39.0
male,67,26.64,6.0,88.0,38.9,28.0
male,25,26.3,16.0,93.0,40.3,68.0
female,41,23.14,17.0,97.0,40.5,91.0
male,49,24.72,16.0,97.0,40.2,89.0
female,58,24.2,2.0,89.0,37.7,10.0
male,27,24.69,28.0,111.0,41.2,185.0
female,33,25.69,5.0,79.0,38.7,16.0
female,59,23.83,19.0,91.0,40.3,97.0
male,21,22.99,13.0,92.0,40.2,44.0
female,65,24.56,10.0,95.0,40.0,56.0
male,22,24.12,21.0,103.0,40.4,112.0
male,55,24.69,10.0,81.0,39.8,37.0
male,22,24.76,9.0,86.0,39.8,24.0
female,35,21.81,30.0,112.0,40.5,216.0
male,58,24.51,15.0,101.0,40.1,106.0
male,45,27.37,14.0,85.0,39.9,57.0
male,62,26.04,18.0,97.0,40.3,119.0
female,74,22.86,16.0,97.0,40.1,96.0
female,48,21.58,7.0,88.0,39.5,33.0
male,23,24.39,23.0,100.0,40.7,106.0
male,31,26.58,25.0,106.0,41.0,156.0
male,53,24.75,14.0,92.0,40.4,75.0
male,73,24.92,18.0,99.0,40.6,130.0
female,27,22.84,21.0,113.0,40.5,142.0
male,40,26.49,22.0,99.0,40.5,121.0
female,66,25.15,24.0,99.0,40.7,143.0
female,46,25.26,20.0,105.0,40.7,123.0
female,75,22.77,26.0,108.0,41.1,186.0
male,33,25.53,13.0,94.0,40.3,53.0
female,49,21.94,27.0,104.0,40.8,170.0
female,37,24.31,15.0,97.0,40.2,78.0
female,43,25.1,26.0,113.0,40.5,182.0
female,66,23.45,11.0,92.0,40.0,55.0
female,51,22.76,25.0,101.0,40.6,150.0
female,33,21.34,6.0,80.0,39.9,21.0
male,48,24.91,6.0,90.0,39.0,26.0
male,43,25.77,18.0,93.0,40.5,90.0
male,48,24.77,16.0,99.0,40.7,91.0
male,34,25.15,17.0,95.0,40.3,79.0
female,61,23.38,29.0,107.0,41.1,195.0
female,48,23.94,10.0,101.0,39.9,57.0
female,30,21.72,18.0,98.0,40.5,96.0
female,79,22.96,7.0,93.0,39.7,39.0
female,67,24.68,4.0,85.0,38.6,18.0
male,60,24.81,4.0,85.0,39.3,17.0
female,57,25.99,15.0,97.0,40.3,82.0
male,34,25.51,19.0,101.0,40.5,110.0
female,42,22.72,25.0,106.0,40.8,161.0
male,38,25.03,25.0,107.0,40.8,164.0
male,43,25.9,5.0,81.0,39.5,15.0
male,76,27.71,12.0,96.0,40.2,85.0
male,37,24.66,23.0,101.0,40.6,128.0
male,23,25.77,14.0,94.0,40.2,59.0
male,21,25.7,2.0,84.0,37.9,6.0
female,20,23.68,18.0,92.0,40.2,82.0
female,23,21.97,25.0,105.0,40.5,148.0
female,20,22.49,3.0,76.0,38.2,8.0
female,25,23.72,14.0,86.0,40.3,53.0
female,24,20.81,16.0,98.0,40.2,85.0
female,29,23.12,22.0,99.0,40.9,120.0
male,43,26.77,28.0,107.0,40.7,205.0
female,26,21.55,4.0,80.0,39.1,13.0
female,76,24.86,28.0,107.0,40.6,192.0
male,43,26.29,4.0,91.0,38.7,18.0
